"name","returnPeriod","displayDate","value"
"tx260_1981_2010","y2",2016-08-05,30.8643307119104
"tx260_1981_2010","y2",2016-08-06,30.8475912202367
"tx260_1981_2010","y2",2016-08-07,30.8285244552756
"tx260_1981_2010","y2",2016-08-08,30.8067534333477
"tx260_1981_2010","y2",2016-08-09,30.7819011679353
"tx260_1981_2010","y2",2016-08-10,30.7535906697186
"tx260_1981_2010","y2",2016-08-11,30.7214449466166
"tx260_1981_2010","y2",2016-08-12,30.6850870038313
"tx260_1981_2010","y2",2016-08-13,30.644139843897
"tx260_1981_2010","y2",2016-08-14,30.5982264667331
"tx260_1981_2010","y2",2016-08-15,30.5469698697016
"tx260_1981_2010","y2",2016-08-16,30.4899930476687
"tx260_1981_2010","y2",2016-08-17,30.42691899307
"tx260_1981_2010","y2",2016-08-18,30.3573706959813
"tx260_1981_2010","y2",2016-08-19,30.280971144192
"tx260_1981_2010","y2",2016-08-20,30.1973433232839
"tx260_1981_2010","y2",2016-08-21,30.1061102167136
"tx260_1981_2010","y2",2016-08-22,30.0068948058995
"tx260_1981_2010","y2",2016-08-23,29.8993265701204
"tx260_1981_2010","y2",2016-08-24,29.7833656450223
"tx260_1981_2010","y2",2016-08-25,29.6594532022691
"tx260_1981_2010","y2",2016-08-26,29.5280683187548
"tx260_1981_2010","y2",2016-08-27,29.3896900698328
"tx260_1981_2010","y2",2016-08-28,29.2447975294278
"tx260_1981_2010","y2",2016-08-29,29.0938697701525
"tx260_1981_2010","y2",2016-08-30,28.9373858634281
"tx260_1981_2010","y2",2016-08-31,28.7758248796092
"tx260_1981_2010","y2",2016-09-01,28.6096658897144
"tx260_1981_2010","y2",2016-09-02,28.4393879825943
"tx260_1981_2010","y2",2016-09-03,28.2654702585227
"tx260_1981_2010","y2",2016-09-04,28.0883918175061
"tx260_1981_2010","y2",2016-09-05,27.9086317591745
"tx260_1981_2010","y2",2016-09-06,27.7266691828712
"tx260_1981_2010","y2",2016-09-07,27.5429831877413
"tx260_1981_2010","y2",2016-09-08,27.3580528728206
"tx260_1981_2010","y2",2016-09-09,27.172357337123
"tx260_1981_2010","y2",2016-09-10,26.9863756797277
"tx260_1981_2010","y2",2016-09-11,26.8005869998658
"tx260_1981_2010","y2",2016-09-12,26.6154703970058
"tx260_1981_2010","y2",2016-09-13,26.4315049709392
"tx260_1981_2010","y2",2016-09-14,26.2491698218645
"tx260_1981_2010","y2",2016-09-15,26.0689440504716
"tx260_1981_2010","y2",2016-09-16,25.8913067580245
"tx260_1981_2010","y2",2016-09-17,25.7167370464443
"tx260_1981_2010","y2",2016-09-18,25.5457111435755
"tx260_1981_2010","y2",2016-09-19,25.3784548100017
"tx260_1981_2010","y2",2016-09-20,25.2147525244335
"tx260_1981_2010","y2",2016-09-21,25.0543438495354
"tx260_1981_2010","y2",2016-09-22,24.8969683508363
"tx260_1981_2010","y2",2016-09-23,24.7423655966188
"tx260_1981_2010","y2",2016-09-24,24.5902751578094
"tx260_1981_2010","y2",2016-09-25,24.4404366078689
"tx260_1981_2010","y2",2016-09-26,24.2925895226843
"tx260_1981_2010","y2",2016-09-27,24.1464734804606
"tx260_1981_2010","y2",2016-09-28,24.0018280616136
"tx260_1981_2010","y2",2016-09-29,23.8583928486632
"tx260_1981_2010","y2",2016-09-30,23.715907426128
"tx260_1981_2010","y2",2016-10-01,23.5741113804195
"tx260_1981_2010","y2",2016-10-02,23.4327442997381
"tx260_1981_2010","y2",2016-10-03,23.2915457739692
"tx260_1981_2010","y2",2016-10-04,23.1502553945799
"tx260_1981_2010","y2",2016-10-05,23.0086127545168
